t,output,error
0, 20.000, -5.000
1, 15.000, -2.750
2, 12.250, -3.313
3,  8.938, -3.372
4,  5.566, -3.307
5,  2.259, -3.096
6, -0.837, -2.765
7, -3.603, -2.342
8, -5.944, -1.853
9, -7.797, -1.327
10, -9.124, -0.790
11, -9.914, -0.269
12,-10.183,  0.215
13, -9.968,  0.643
14, -9.325,  1.002
15, -8.323,  1.282
16, -7.040,  1.478
17, -5.562,  1.589
18, -3.973,  1.618
19, -2.356,  1.571
20, -0.785,  1.458
21,  0.673,  1.290
22,  1.962,  1.079
23,  3.041,  0.840
24,  3.882,  0.586
25,  4.468,  0.330
26,  4.797,  0.082
27,  4.880, -0.145
28,  4.734, -0.345
29,  4.390, -0.510
30,  3.880, -0.636
31,  3.244, -0.722
32,  2.522, -0.767
33,  1.754, -0.774
34,  0.981, -0.745
35,  0.236, -0.685
36, -0.449, -0.600
37, -1.050, -0.496
38, -1.546, -0.380
39, -1.925, -0.257
40, -2.182, -0.134
41, -2.317, -0.017
42, -2.334,  0.089
43, -2.245,  0.182
44, -2.063,  0.258
45, -1.805,  0.315
46, -1.491,  0.352
47, -1.139,  0.370
48, -0.769,  0.370
49, -0.399,  0.353
50, -0.047,  0.321
51,  0.275,  0.279
52,  0.553,  0.227
53,  0.781,  0.171
54,  0.952,  0.112
55,  1.063,  0.053
56,  1.117, -0.002
57,  1.115, -0.052
58,  1.063, -0.095
59,  0.968, -0.130
60,  0.838, -0.155
61,  0.683, -0.171
62,  0.512, -0.178
63,  0.334, -0.176
64,  0.158, -0.167
65, -0.009, -0.150
66, -0.159, -0.129
67, -0.289, -0.104
68, -0.392, -0.076
69, -0.469, -0.048
70, -0.517, -0.020
71, -0.537,  0.006
72, -0.531,  0.029
73, -0.502,  0.049
74, -0.453,  0.065
75, -0.388,  0.076
76, -0.312,  0.083
77, -0.229,  0.085
78, -0.144,  0.084
79, -0.060,  0.079
80,  0.019,  0.070
81,  0.089,  0.060
82,  0.149,  0.047
83,  0.196,  0.034
84,  0.230,  0.020
85,  0.251,  0.007
86,  0.258, -0.005
87,  0.253, -0.016
88,  0.237, -0.025
89,  0.212, -0.032
90,  0.179, -0.037
91,  0.142, -0.040
92,  0.102, -0.041
93,  0.061, -0.040
94,  0.021, -0.037
95, -0.016, -0.033
96, -0.049, -0.028
97, -0.076, -0.021
98, -0.098, -0.015
99, -0.113, -0.009
